"Positionsinhaber","Emittent","ISIN","Position","Datum"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,45","2018-01-24"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,99","2018-01-24"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","1,13","2018-01-24"
"Citadel Europe LLP","Südzucker AG","DE0007297004","0,68","2018-01-24"
"Marshall Wace LLP","Südzucker AG","DE0007297004","0,66","2018-01-24"
"Bloom Tree Partners, LLC","Wirecard AG","DE0007472060","0,13","2018-01-24"
"Oxford Asset Management","Nordex SE","DE000A0D6554","0,79","2018-01-24"
"Quentec Asset Management LLC","SMA Solar Technology AG","DE000A0DJ6J9","0,71","2018-01-24"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,68","2018-01-24"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,32","2018-01-24"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","2,02","2018-01-24"
"AQR Capital Management, LLC","Willis Towers Watson Public Limited Company","IE00BDB6Q211","0,49","2018-01-24"
"CQS (UK) LLP","SAF-HOLLAND GmbH","LU0307018795","0,86","2018-01-24"
"GLG Partners LP","SAF-HOLLAND SA","LU0307018795","0,50","2018-01-24"
"HBK Investments L.P.","American Outdoor Brands Corporation","US02874P1030","0,72","2018-01-24"
"PDT Partners, LLC","AnaptysBio, Inc.","US0327241065","0,70","2018-01-24"
"PDT Partners, LLC","Cleveland-Cliffs, Inc.","US1858991011","0,52","2018-01-24"
"PDT Partners, LLC","Hertz Global Holdings, Inc.","US42806J1060","1,86","2018-01-24"
"PDT Partners, LLC","IMPINJ, INC.","US4532041096","1,72","2018-01-24"
"PDT Partners, LLC","The Meet Group, Inc.","US58513U1016","0,68","2018-01-24"
"PDT Partners, LLC","The Trade Desk, Inc.","US88339J1051","1,25","2018-01-24"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","1,89","2018-01-23"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,06","2018-01-23"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","0,97","2018-01-23"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,86","2018-01-23"
"Darsana Capital Partners LP","Wirecard AG","DE0007472060","0,49","2018-01-23"
"Ennismore Fund Management Limited","RIB Software SE","DE000A0Z2XN6","1,59","2018-01-23"
"Oxford Asset Management","Medigene AG","DE000A1X3W00","0,79","2018-01-23"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE000A2GS401","0,97","2018-01-23"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,08","2018-01-23"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,18","2018-01-23"
"Arrowgrass Capital Partners LLP","SAF-HOLLAND GmbH","LU0307018795","0,32","2018-01-23"
"HBK Investments L.P.","Frontier Communications Corporation","US35906A3068","0,99","2018-01-23"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,56","2018-01-22"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,64","2018-01-22"
"Systematica Investments Limited","Evotec AG","DE0005664809","0,71","2018-01-22"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,54","2018-01-22"
"AKO Capital LLP","KRONES Aktiengesellschaft","DE0006335003","0,50","2018-01-22"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,54","2018-01-22"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","1,00","2018-01-22"
"BODENHOLM CAPITAL AB","Koenig & Bauer AG","DE0007193500","0,95","2018-01-22"
"SFM UK Management LLP","Koenig & Bauer AG","DE0007193500","0,93","2018-01-22"
"Darsana Capital Partners LP","Wirecard AG","DE0007472060","0,65","2018-01-22"
"GLG Partners LP","ElringKlinger AG","DE0007856023","1,62","2018-01-22"
"Oxford Asset Management","Singulus Technologies Aktiengesellschaft","DE000A1681X5","0,50","2018-01-22"
"Tiger Global Management, LLC","HUGO BOSS AG","DE000A1PHFF7","1,50","2018-01-22"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,10","2018-01-22"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,69","2018-01-22"
"BNP PARIBAS SA","SAF-HOLLAND SA","LU0307018795","2,00","2018-01-22"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","0,90","2018-01-19"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,69","2018-01-19"
"WorldQuant, LLC","LANXESS Aktiengesellschaft","DE0005470405","0,60","2018-01-19"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,19","2018-01-19"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,18","2018-01-19"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,11","2018-01-19"
"Marshall Wace LLP","KRONES Aktiengesellschaft","DE0006335003","0,49","2018-01-19"
"AQR Capital Management, LLC","GEA Group Aktiengesellschaft","DE0006602006","1,78","2018-01-19"
"WorldQuant, LLC","MorphoSys AG","DE0006632003","0,52","2018-01-19"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","0,90","2018-01-19"
"SFM UK Management LLP","Koenig & Bauer AG","DE0007193500","0,86","2018-01-19"
"Darsana Capital Partners LP","Wirecard AG","DE0007472060","0,75","2018-01-19"
"Highbridge Capital Management, LLC","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,21","2018-01-19"
"Hengistbury Investment Partners LLP","METRO AG","DE000BFB0019","1,46","2018-01-19"
"HBK Investments L.P.","American Outdoor Brands Corporation","US02874P1030","0,60","2018-01-19"
"PDT Partners, LLC","Envision Healthcare","US29414D1000","1,28","2018-01-19"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","0,86","2018-01-18"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,76","2018-01-18"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","1,96","2018-01-18"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","1,04","2018-01-18"
"WorldQuant, LLC","RWE Aktiengesellschaft","DE0007037129","0,49","2018-01-18"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","0,70","2018-01-18"
"Balyasny Europe Asset Management LLP","Südzucker AG","DE0007297004","0,44","2018-01-18"
"AKO Capital LLP","Nordex SE","DE000A0D6554","0,61","2018-01-18"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,79","2018-01-18"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,95","2018-01-18"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,57","2018-01-18"
"Marshall Wace LLP","METRO AG","DE000BFB0019","1,59","2018-01-18"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,09","2018-01-18"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","1,91","2018-01-18"
"Maplelane Capital, LLC","Dialog Semicondcutor PLC","GB0059822006","0,21","2018-01-18"
"AQR Capital Management, LLC","JOHNSON CONTROLS INTERNATIONAL PLC","IE00BY7QL619","0,65","2018-01-18"
"BNP PARIBAS SA","SAF-HOLLAND SA","LU0307018795","1,95","2018-01-18"
"HBK Investments L.P.","Envision Healthcare Corporation","US29414D1000","0,59","2018-01-18"
"HBK Investments L.P.","Frontier Communications Corporation","US35906A3068","1,03","2018-01-18"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,52","2018-01-17"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","1,10","2018-01-17"
"WorldQuant, LLC","MorphoSys AG","DE0006632003","0,49","2018-01-17"
"Balyasny Europe Asset Management LLP","Südzucker AG","DE0007297004","0,51","2018-01-17"
"Marshall Wace LLP","Südzucker AG","DE0007297004","0,53","2018-01-17"
"GLG Partners LP","ElringKlinger AG","DE0007856023","1,57","2018-01-17"
"AKO Capital LLP","Nordex SE","DE000A0D6554","0,51","2018-01-17"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,58","2018-01-17"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,88","2018-01-16"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,49","2018-01-16"
"AHL Partners LLP","Evotec AG","DE0005664809","1,68","2018-01-16"
"Systematica Investments Limited","Evotec AG","DE0005664809","0,60","2018-01-16"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,49","2018-01-16"
"Elliott Capital Advisors, L.P.","HOCHTIEF Aktiengesellschaft","DE0006070006","0,48","2018-01-16"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","0,43","2018-01-16"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,62","2018-01-16"
"Marshall Wace LLP","KION GROUP AG","DE000KGX8881","0,59","2018-01-16"
"CQS (UK) LLP","LEG Immobilien AG","DE000LEG1110","1,35","2018-01-16"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,52","2018-01-15"
"SFM UK Management LLP","Koenig & Bauer AG","DE0007193500","0,63","2018-01-15"
"Balyasny Europe Asset Management LLP","Südzucker AG","DE0007297004","0,46","2018-01-15"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","0,56","2018-01-15"
"Millennium International Management LP","MTU Aero Engines AG","DE000A0D9PT0","0,79","2018-01-15"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,69","2018-01-15"
"Citadel Europe LLP","METRO AG","DE000BFB0019","0,73","2018-01-15"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,28","2018-01-15"
"AQR Capital Management, LLC","Willis Towers Watson Public Limited Company","IE00BDB6Q211","0,54","2018-01-15"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,62","2018-01-12"
"BlackRock Investment Management (UK) Limited","zooplus AG","DE0005111702","1,11","2018-01-12"
"AQR Capital Management, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","1,32","2018-01-12"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,03","2018-01-12"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,90","2018-01-12"
"Balyasny Europe Asset Management LLP","Südzucker AG","DE0007297004","0,50","2018-01-12"
"Oxford Asset Management","PVA TePla AG","DE0007461006","0,60","2018-01-12"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","0,61","2018-01-12"
"GLG Partners LP","ElringKlinger AG","DE0007856023","1,43","2018-01-12"
"Macquarie Funds Management Hong Kong Limited","Sixt Leasing SE","DE000A0DPRE6","0,49","2018-01-12"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,09","2018-01-12"
"WorldQuant, LLC","RIB Software SE","DE000A0Z2XN6","0,61","2018-01-12"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,78","2018-01-12"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE000A2GS401","1,00","2018-01-12"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","1,82","2018-01-12"
"Steadfast Capital Management LP","ProSiebenSat.1 Media SE","DE000PSM7770","0,72","2018-01-12"
"AQR Capital Management, LLC","Zalando SE","DE000ZAL1111","1,19","2018-01-12"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,63","2018-01-11"
"Elliott Capital Advisors, L.P.","HOCHTIEF Aktiengesellschaft","DE0006070006","0,57","2018-01-11"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","1,29","2018-01-11"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,94","2018-01-11"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","publity AG","DE0006972508","0,46","2018-01-11"
"SFM UK Management LLP","Koenig & Bauer AG","DE0007193500","0,50","2018-01-11"
"DSAM Partners LLP","Südzucker AG","DE0007297004","0,64","2018-01-11"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","0,81","2018-01-11"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,85","2018-01-11"
"Adage Capital Management L.P.","Wacker Chemie AG","DE000WCH8881","1,18","2018-01-11"
"Angelo, Gordon & Co., L.P.","SAF-Holland S.A.","LU0307018795","1,52","2018-01-11"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","0,80","2018-01-10"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,20","2018-01-10"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,69","2018-01-10"
"WorldQuant, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,60","2018-01-10"
"Blue Ridge Capital, L.L.C.","Wirecard AG","DE0007472060","0,37","2018-01-10"
"Marshall Wace LLP","Deutsche EuroShop AG","DE0007480204","0,57","2018-01-10"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","0,91","2018-01-10"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,54","2018-01-10"
"HBK Investments L.P.","American Outdoor Brands Corporation","US02874P1030","0,50","2018-01-10"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,98","2018-01-09"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,58","2018-01-09"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,53","2018-01-09"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,19","2018-01-09"
"Blue Ridge Capital, L.L.C.","Wirecard AG","DE0007472060","0,53","2018-01-09"
"Darsana Capital Partners LP","Wirecard AG","DE0007472060","1,03","2018-01-09"
"Oxford Asset Management","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,59","2018-01-09"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,47","2018-01-09"
"Highbridge Capital Management, LLC","SLM Solutions Group AG","DE000A111338","0,88","2018-01-09"
"Citadel Europe LLP","METRO AG","DE000BFB0019","0,83","2018-01-09"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,31","2018-01-09"
"CQS (UK) LLP","LEG Immobilien AG","DE000LEG1110","1,41","2018-01-09"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","1,71","2018-01-09"
"Macquarie Funds Management Hong Kong Limited","paragon Aktiengesellschaft","DE0005558696","0,50","2018-01-08"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","0,70","2018-01-08"
"Systematica Investments Limited","Evotec AG","DE0005664809","0,50","2018-01-08"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,47","2018-01-08"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","1,31","2018-01-08"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,20","2018-01-08"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,45","2018-01-08"
"Marshall Wace LLP","RWE Aktiengesellschaft","DE0007037129","0,48","2018-01-08"
"Citadel Europe LLP","Südzucker AG","DE0007297004","0,71","2018-01-08"
"Blue Ridge Capital, L.L.C.","Wirecard AG","DE0007472060","0,81","2018-01-08"
"Darsana Capital Partners LP","Wirecard AG","DE0007472060","1,25","2018-01-08"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","1,07","2018-01-08"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,15","2018-01-08"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE000A2GS401","0,98","2018-01-08"
"Marshall Wace LLP","METRO AG","DE000BFB0019","1,69","2018-01-08"
"CQS (UK) LLP","LEG Immobilien AG","DE000LEG1110","1,71","2018-01-08"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","1,69","2018-01-08"
"Marshall Wace LLP","Uniper SE","DE000UNSE018","0,49","2018-01-08"
"WorldQuant, LLC","Dialog Semiconductor GmbH","GB0059822006","0,48","2018-01-08"
"JPMorgan Asset Management (UK) Ltd","ADVA Optical Networking SE","DE0005103006","1,87","2018-01-05"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,50","2018-01-05"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","0,65","2018-01-05"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,19","2018-01-05"
"Marshall Wace LLP","KRONES Aktiengesellschaft","DE0006335003","0,59","2018-01-05"
"BlackRock Investment Management (UK) Limited","Koenig & Bauer AG","DE0007193500","0,50","2018-01-05"
"Marshall Wace LLP","Deutsche EuroShop AG","DE0007480204","0,60","2018-01-05"
"Highbridge Capital Management, LLC","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,14","2018-01-05"
"GLG Partners LP","Software Aktiengesellschaft","DE000A2GS401","0,99","2018-01-05"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,75","2018-01-05"
"BlackRock Investment Management (UK) Limited","DIALOG SEMICONDUCTOR PLC","GB0059822006","0,82","2018-01-05"
"HBK Investments L.P.","Frontier Communications Corporation","US35906A3068","0,92","2018-01-05"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","0,90","2018-01-04"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","0,99","2018-01-04"
"JPMorgan Asset Management (UK) Ltd","ADVA Optical Networking SE","DE0005103006","2,24","2018-01-04"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,66","2018-01-04"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","2,09","2018-01-04"
"Capital Fund Management SA","Salzgitter Aktiengesellschaft","DE0006202005","0,50","2018-01-04"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,57","2018-01-04"
"Marshall Wace LLP","RWE Aktiengesellschaft","DE0007037129","0,57","2018-01-04"
"WorldQuant, LLC","RWE Aktiengesellschaft","DE0007037129","0,53","2018-01-04"
"WorldQuant, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,51","2018-01-04"
"Blue Ridge Capital, L.L.C.","Ströer SE & Co. KGaA","DE0007493991","1,17","2018-01-04"
"Odey Asset Management LLP","ElringKlinger AG","DE0007856023","1,70","2018-01-04"
"Millennium International Management LP","MTU Aero Engines AG","DE000A0D9PT0","0,80","2018-01-04"
"AHL Partners LLP","Gerresheimer AG","DE000A0LD6E6","0,49","2018-01-04"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,39","2018-01-04"
"WorldQuant, LLC","RIB Software SE","DE000A0Z2XN6","0,53","2018-01-04"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE000A2GS401","1,01","2018-01-04"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","1,71","2018-01-04"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,48","2018-01-03"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,39","2018-01-03"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,68","2018-01-03"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,28","2018-01-03"
"Highbridge Capital Management, LLC","Capital Stage AG","DE0006095003","1,00","2018-01-03"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,99","2018-01-03"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,92","2018-01-03"
"Millennium International Management LP","MTU Aero Engines AG","DE000A0D9PT0","0,79","2018-01-03"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,61","2018-01-03"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","1,56","2018-01-03"
"Ennismore Fund Management Limited","RIB Software SE","DE000A0Z2XN6","1,68","2018-01-03"
"AQR Capital Management, LLC","Symrise AG","DE000SYM9999","0,49","2018-01-03"
"Marshall Wace LLP","Uniper SE","DE000UNSE018","0,50","2018-01-03"
"Adage Capital Management L.P.","Wacker Chemie AG","DE000WCH8881","1,24","2018-01-03"
"WorldQuant, LLC","Dialog Semiconductor GmbH","GB0059822006","0,57","2018-01-03"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","0,88","2018-01-02"
"Wellington Management Company, LLP","Evotec AG","DE0005664809","0,92","2018-01-02"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,48","2018-01-02"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,31","2018-01-02"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,26","2018-01-02"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,70","2018-01-02"
